instrument,threshold_id,episode_cluster_id,cluster_split_bucket,cluster_member_split_bucket_set,cluster_calendar_span_split_bucket_set,cluster_start_date,cluster_end_date,cluster_start_pos,cluster_end_pos,touches_multiple_split_buckets,touches_multiple_calendar_split_buckets,train_validation_boundary_overlap,validation_robustness_boundary_overlap,split_overlap_status,blocking_reason
SZ002460,up100pct,up100pct::SZ002460::000000,cross_split,robustness;validation,robustness;validation,2023-11-15,2026-04-14,1667,2249,True,True,False,True,pass,
SZ002461,up100pct,up100pct::SZ002461::000000,train,train,train,2018-05-22,2020-07-24,335,865,False,False,False,False,pass,
SZ002463,up100pct,up100pct::SZ002463::000000,robustness,robustness,robustness,2024-03-04,2026-05-29,1739,2280,False,False,False,False,pass,
SZ002465,up100pct,up100pct::SZ002465::000000,cross_split,robustness;train;validation,robustness;train;validation,2019-02-11,2026-01-14,504,2187,True,True,True,True,pass,
SZ002466,up100pct,up100pct::SZ002466::000000,cross_split,train,train;validation,2019-10-11,2022-07-06,654,1312,False,True,True,False,pass,
SZ002466,up100pct,up100pct::SZ002466::000001,robustness,robustness,robustness,2024-04-25,2026-05-06,1750,2238,False,False,False,False,pass,
SZ002475,up100pct,up100pct::SZ002475::000000,robustness,robustness,robustness,2024-11-07,2026-05-13,1903,2267,False,False,False,False,pass,
SZ002487,up100pct,up100pct::SZ002487::000000,cross_split,train;validation,train;validation,2021-11-22,2026-04-28,1187,2260,True,True,True,False,pass,
SZ002491,up100pct,up100pct::SZ002491::000000,train,train,train,2018-01-11,2026-05-13,251,2268,False,False,False,False,pass,
SZ002493,up100pct,up100pct::SZ002493::000000,train,train,train,2018-01-11,2021-02-18,251,1002,False,False,False,False,pass,
SZ002493,up100pct,up100pct::SZ002493::000001,robustness,robustness,robustness,2025-06-20,2026-03-03,2053,2221,False,False,False,False,pass,
SZ002497,up100pct,up100pct::SZ002497::000000,train,train,train,2021-02-02,2021-09-14,995,1145,False,False,False,False,pass,
SZ002498,up100pct,up100pct::SZ002498::000000,train,train,train,2020-05-08,2026-05-14,812,2269,False,False,False,False,pass,
SZ002507,up100pct,up100pct::SZ002507::000000,train,train,train,2018-05-11,2020-09-03,251,817,False,False,False,False,pass,
SZ002508,up100pct,up100pct::SZ002508::000000,train,train,train,2019-02-11,2021-07-08,510,1097,False,False,False,False,pass,
SZ002517,up100pct,up100pct::SZ002517::000000,cross_split,robustness;validation,robustness;validation,2023-04-06,2025-09-18,1484,2081,True,True,False,True,pass,
SZ002531,up100pct,up100pct::SZ002531::000000,cross_split,train,,2018-01-11,2021-09-03,251,1132,False,False,False,False,pass,
SZ002532,up100pct,up100pct::SZ002532::000000,cross_split,robustness;train;validation,robustness;train;validation,2020-07-08,2026-01-29,770,2121,True,True,True,True,pass,
SZ002555,up100pct,up100pct::SZ002555::000000,train,train,train,2019-09-05,2020-07-14,642,846,False,False,False,False,pass,
SZ002555,up100pct,up100pct::SZ002555::000001,cross_split,train;validation,train;validation,2021-08-03,2023-06-20,1104,1559,True,True,True,False,pass,
SZ002555,up100pct,up100pct::SZ002555::000002,robustness,robustness,robustness,2024-03-28,2026-01-13,1746,2181,False,False,False,False,pass,
SZ002558,up100pct,up100pct::SZ002558::000000,cross_split,robustness;train;validation,robustness;train;validation,2018-05-11,2026-01-20,328,2162,True,True,True,True,pass,
SZ002572,up100pct,up100pct::SZ002572::000000,train,train,train,2019-02-11,2021-02-18,510,1002,False,False,False,False,pass,
SZ002583,up100pct,up100pct::SZ002583::000000,cross_split,train,robustness;train,2019-12-11,2024-10-25,716,1895,False,True,False,False,pass,
SZ002594,up100pct,up100pct::SZ002594::000000,cross_split,robustness;train,robustness;train;validation,2018-01-11,2025-05-23,251,2034,True,True,True,True,pass,
SZ002595,up100pct,up100pct::SZ002595::000000,cross_split,robustness;train,robustness;train,2019-03-19,2026-03-06,536,2224,True,True,False,False,pass,
SZ002600,up100pct,up100pct::SZ002600::000000,cross_split,robustness;train;validation,robustness;train;validation,2021-10-20,2026-01-13,1047,2075,True,True,True,True,pass,
SZ002602,up100pct,up100pct::SZ002602::000000,cross_split,robustness;train;validation,robustness;train;validation,2020-08-10,2025-09-26,772,2018,True,True,True,True,pass,
SZ002603,up100pct,up100pct::SZ002603::000000,train,train,train,2018-05-22,2020-04-16,335,799,False,False,False,False,pass,
SZ002603,up100pct,up100pct::SZ002603::000001,cross_split,train;validation,train;validation,2020-05-15,2022-12-08,817,1442,True,True,True,False,pass,
SZ002607,up100pct,up100pct::SZ002607::000000,train,train,train,2019-02-11,2020-11-02,412,832,False,False,False,False,pass,
SZ002624,up100pct,up100pct::SZ002624::000000,train,train,train,2019-02-11,2020-07-21,500,852,False,False,False,False,pass,
SZ002624,up100pct,up100pct::SZ002624::000001,cross_split,train,robustness;train;validation,2021-08-31,2026-02-10,1125,2202,False,True,True,True,pass,
SZ002625,up100pct,up100pct::SZ002625::000000,cross_split,robustness;train;validation,robustness;train;validation,2018-01-11,2026-01-12,88,2028,True,True,True,True,pass,
