split_bucket,path_type,feature_id,episode_cluster_n,feature_p25,feature_median,feature_p75,metric_distribution_status
validation,jump_repricing_winner,underwater_days_share,11,0.6824229691876751,0.8297872340425532,0.8927837699024139,pass
validation,jump_repricing_winner,directional_entropy_5state,11,0.9239440493028418,0.9449486590817671,0.9704073746617363,pass
validation,jump_repricing_winner,trend_line_r2,11,0.2786935793844057,0.44126550761995753,0.5536401110634492,pass
validation,jump_repricing_winner,top1_positive_gain_share,11,0.11549250335049129,0.13108262862271047,0.2172461118944503,pass
validation,jump_repricing_winner,top3_positive_gain_share,11,0.2534133666368367,0.2937263974805764,0.5225479311292455,pass
validation,jump_repricing_winner,time_to_threshold_sessions,11,36.5,53.0,107.5,pass
validation,jump_repricing_winner,pullback_5pct_count,11,1.0,2.0,3.0,pass
validation,jump_repricing_winner,realized_volatility_to_hit,11,0.02976130597575524,0.03885926024092739,0.049979533786704715,pass
validation,late_rescue_winner,path_efficiency,45,0.024908639295866637,0.0347571622302154,0.04131535799918031,pass
validation,late_rescue_winner,max_drawdown_before_hit_abs,45,0.3410351201478743,0.4735323632714501,0.5604431410883024,pass
validation,late_rescue_winner,underwater_days_share,45,0.970550576184379,0.9747634069400631,0.982089552238806,pass
validation,late_rescue_winner,directional_entropy_5state,45,0.9506164041858217,0.9701465128730246,0.9836261680907104,pass
validation,late_rescue_winner,trend_line_r2,45,0.036640393883053984,0.10252310938248224,0.2713742775149681,pass
validation,late_rescue_winner,top1_positive_gain_share,45,0.01567499858424125,0.018495316382433343,0.020922238294974072,pass
validation,late_rescue_winner,top3_positive_gain_share,45,0.04644259144811571,0.05449758104155888,0.06160516376826828,pass
validation,late_rescue_winner,time_to_threshold_sessions,45,640.0,685.0,773.0,pass
validation,late_rescue_winner,pullback_5pct_count,45,4.0,5.0,6.0,pass
validation,late_rescue_winner,realized_volatility_to_hit,45,0.02064122253633865,0.024393086972844112,0.030116041099027206,pass
validation,slow_grind_winner,path_efficiency,5,0.05520953434362197,0.057107193701405774,0.0683518825641508,pass
validation,slow_grind_winner,max_drawdown_before_hit_abs,5,0.2053231939163498,0.23275862068965525,0.2687338501291989,pass
validation,slow_grind_winner,underwater_days_share,5,0.9229422066549913,0.9432314410480349,0.9517241379310345,pass
validation,slow_grind_winner,directional_entropy_5state,5,0.9548102791924898,0.9652751816372493,0.9710908662407041,pass
validation,slow_grind_winner,trend_line_r2,5,0.6972898274489533,0.7037867124382908,0.7221822697324057,pass
validation,slow_grind_winner,top1_positive_gain_share,5,0.02418024107268573,0.025268023969124795,0.02548539557843843,pass
validation,slow_grind_winner,top3_positive_gain_share,5,0.05935991943233297,0.06261480009680848,0.06510392285480744,pass
validation,slow_grind_winner,time_to_threshold_sessions,5,580.0,629.0,686.0,pass
validation,slow_grind_winner,pullback_5pct_count,5,4.0,5.0,6.0,pass
validation,slow_grind_winner,realized_volatility_to_hit,5,0.01418358259508513,0.014838397532445376,0.015215147700014628,pass
validation,smooth_trend_winner,path_efficiency,13,0.2648364665794581,0.32259403186260294,0.5620284216871585,pass
validation,smooth_trend_winner,max_drawdown_before_hit_abs,13,0.08304657031429241,0.08578288707799764,0.12279190004308493,pass
validation,smooth_trend_winner,underwater_days_share,13,0.47058823529411764,0.6557377049180327,0.7297297297297297,pass
validation,smooth_trend_winner,directional_entropy_5state,13,0.8928884053861422,0.9190292454608379,0.9291903278621122,pass
validation,smooth_trend_winner,trend_line_r2,13,0.7108996156704666,0.7916991610553199,0.8553046261789856,pass
validation,smooth_trend_winner,top1_positive_gain_share,13,0.1118576536865842,0.16893976356263288,0.2293929632919251,pass
validation,smooth_trend_winner,top3_positive_gain_share,13,0.28717081775421793,0.3723750628166571,0.4908498826742495,pass
validation,smooth_trend_winner,time_to_threshold_sessions,13,20.0,45.0,61.0,pass
validation,smooth_trend_winner,pullback_5pct_count,13,1.0,2.0,3.0,pass
validation,smooth_trend_winner,realized_volatility_to_hit,13,0.029165507279384092,0.03422101230663044,0.04069603633912908,pass
validation,stair_step_winner,path_efficiency,28,0.08222651379603485,0.09317278742720542,0.1349236862748579,pass
validation,stair_step_winner,max_drawdown_before_hit_abs,28,0.14360387335159577,0.1681500203851538,0.22412997261280584,pass
validation,stair_step_winner,underwater_days_share,28,0.8826465490601781,0.9175743569131832,0.9330310549745469,pass
validation,stair_step_winner,directional_entropy_5state,28,0.9581099321352388,0.9678621802039225,0.9762148129671863,pass
validation,stair_step_winner,trend_line_r2,28,0.5724717987209601,0.6902309534160926,0.7695667600205969,pass
validation,stair_step_winner,top1_positive_gain_share,28,0.028635008004287546,0.03377048290579655,0.04146127030122407,pass
validation,stair_step_winner,top3_positive_gain_share,28,0.07697791356117749,0.08703329854146051,0.10784747084456452,pass
