policy_id,aggregation_scope,stop_trigger_n,stop_fill_n,stop_blocked_n,mean_trigger_to_fill_delay_sessions,mean_stop_overshoot,stopped_capital_weight,stop_exit_vs_hold_delta_cny,stop_avoided_loss_cny,stop_missed_rebound_cny,stop_attribution_missing_n,source_table_content_hash,ex_post_counterfactual_attribution_only,status,missing_reason,run_id,contract_version
B0_P4_RAW_RANK__D10__L100__STOPNONE,non_event_posthoc,0,0,0,,,0,,,,0,4bbe5ddc1abac131e805232cfeaa1cc62fc8f7b0cc2f72eecb26a51e22883fe4,True,not_applicable_no_stop,stop_threshold_none,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D8__L000__STOP05,all,505,505,0,0.0039603960396,0.00244142438787,0.558243623688,-3492989.20339,3542246.25793,7035235.46132,1,0e769aafcba23a9801f4ae4bfbc25adc4798e2f9d7a7cdd3f2d579474aab7761,True,evaluable,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D8__L000__STOP05,event_posthoc,100,100,0,0,0.000310161512043,0.47089086,-476771.041392,957019.353361,1433790.39475,0,2e89d86fd125a49a8a74cf068dd7105e10cf89af6a37a4740f0af61cfef1c56e,True,evaluable,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D8__L000__STOP05,non_event_posthoc,405,405,0,0.00493827160494,0.00296766213499,0.585541362341,-3016218.16199,2585226.90457,5601445.06657,1,65eba6ded2a4b717142708729b0f17b1001e75499507cb04a7e9264526fafe3f,True,evaluable,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D8__L000__STOP10,all,263,263,0,0.00380228136882,0.0024001046608,0.316516937726,-1445301.29098,1546049.34492,2991350.6359,1,888e166172b303241dcb644e5f0538c0c56a60f47d08c9178917e550445e7409,True,evaluable,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D8__L000__STOP10,event_posthoc,53,53,0,0,0.000233696370318,0.27987094,-72067.590841,397496.451956,469564.042797,0,86a029ff069aab0e9619a27f3d6ae22e084586c6d9011df81d3d1050e7c19995,True,evaluable,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D8__L000__STOP10,non_event_posthoc,210,210,0,0.0047619047619,0.0029468648484,0.327968812015,-1373233.70014,1148552.89296,2521786.5931,1,e9f61d8388018e1a5c74089469e5aef64c1d631d113db032c1c30a7e4eb61435,True,evaluable,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D8__L000__STOP15,all,131,131,0,0.0229007633588,0.00480716583625,0.166618042198,-1139022.48092,589124.908507,1728147.38943,1,3967e3c3bf5da8b5da3c13b3d20d51f52ccf69a896f813fa567b450701fb7de7,True,evaluable,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D8__L000__STOP15,event_posthoc,33,33,0,0,0.000196250612564,0.1820429,-299549.636122,160364.891818,459914.527939,0,aaadea8054ad61aaeb0742974acddd85b1f36f87057b420c326f3f9de7ffc5ec,True,evaluable,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D8__L000__STOP15,non_event_posthoc,98,98,0,0.030612244898,0.0063598209626,0.161797774135,-839472.844801,428760.016689,1268232.86149,1,8de6072b8c0059f76c23896b4567e0ade0d23184816499c0394314d82b52b0f6,True,evaluable,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
