feature_name,feature_family,qlib_expression_or_source,lookback_window,uses_future_data,primary_allowed,sensitivity_allowed
CNTN30,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
CNTN60,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
CNTD5,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
CNTD10,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
CNTD20,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
CNTD30,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
CNTD60,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
SUMP5,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
SUMP10,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
SUMP20,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
SUMP30,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
SUMP60,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
SUMN5,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
SUMN10,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
SUMN20,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
SUMN30,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
SUMN60,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
SUMD5,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
SUMD10,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
SUMD20,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
SUMD30,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
SUMD60,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
VMA5,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
VMA10,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
VMA20,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
VMA30,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
VMA60,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
VSTD5,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
VSTD10,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
VSTD20,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
VSTD30,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
VSTD60,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
WVMA5,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
WVMA10,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
WVMA20,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
WVMA30,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
WVMA60,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
VSUMP5,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
VSUMP10,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
VSUMP20,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
VSUMP30,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
VSUMP60,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
VSUMN5,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
VSUMN10,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
VSUMN20,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
VSUMN30,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
VSUMN60,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
VSUMD5,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
VSUMD10,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
VSUMD20,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
VSUMD30,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
VSUMD60,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
